why,interesting,linkedinExperienceTitle,linkedinSearchResultUri,linkedInProfileUri,linkedInSearchQueryString
,,UX Engineer,https://www.linkedin.com/in/yangguangli/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BY8NmhKxjSpahB7Z5OLZ%2B2w%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=BkYIlpFLTQedaXYkYz2Stw%3D%3D,https://www.linkedin.com/in/yangguangli/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BY8NmhKxjSpahB7Z5OLZ%2B2w%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=BkYIlpFLTQedaXYkYz2Stw%3D%3D
,,UX Engineer,https://www.linkedin.com/in/kevinlozandier/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BY8NmhKxjSpahB7Z5OLZ%2B2w%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=DNwPwe5NSxyQQ%2FE%2FuY5n2A%3D%3D,https://www.linkedin.com/in/kevinlozandier/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BY8NmhKxjSpahB7Z5OLZ%2B2w%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=DNwPwe5NSxyQQ%2FE%2FuY5n2A%3D%3D
,,UX Engineer,https://www.linkedin.com/in/sam-raja-57b3979/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BY8NmhKxjSpahB7Z5OLZ%2B2w%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=uZd7rYofQbCKJfWgKiMFeA%3D%3D,https://www.linkedin.com/in/sam-raja-57b3979/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BY8NmhKxjSpahB7Z5OLZ%2B2w%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=uZd7rYofQbCKJfWgKiMFeA%3D%3D
,,UX Engineer,https://www.linkedin.com/in/gregorywieber/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BY8NmhKxjSpahB7Z5OLZ%2B2w%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=p8HiAut3T4KHf1d8ryZgbg%3D%3D,https://www.linkedin.com/in/gregorywieber/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BY8NmhKxjSpahB7Z5OLZ%2B2w%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=p8HiAut3T4KHf1d8ryZgbg%3D%3D
,,UX Engineer,https://www.linkedin.com/in/i-am-mike/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BY8NmhKxjSpahB7Z5OLZ%2B2w%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=T7AJSbssTDmrdVsuod1AxA%3D%3D,https://www.linkedin.com/in/i-am-mike/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BY8NmhKxjSpahB7Z5OLZ%2B2w%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=T7AJSbssTDmrdVsuod1AxA%3D%3D
,,"UX Engineer, Design",https://www.linkedin.com/in/jkymarsh/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BtM%2FvwhUiR7i6vlJ43rCgMA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=h8KkrsWATwaYS9Wfmj1eNw%3D%3D,https://www.linkedin.com/in/jkymarsh/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BtM%2FvwhUiR7i6vlJ43rCgMA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=h8KkrsWATwaYS9Wfmj1eNw%3D%3D
,,Software Engineer,https://www.linkedin.com/in/ryan-mcdermott-engineer/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BtM%2FvwhUiR7i6vlJ43rCgMA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=%2B0j%2FYBe7RLu3h8dAMNH8JQ%3D%3D,https://www.linkedin.com/in/ryan-mcdermott-engineer/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BtM%2FvwhUiR7i6vlJ43rCgMA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=%2B0j%2FYBe7RLu3h8dAMNH8JQ%3D%3D
,x,UX Engineer,https://www.linkedin.com/in/alex-leite-b553b86/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BtM%2FvwhUiR7i6vlJ43rCgMA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=2TGxv07jT4SOWr9WWRELTQ%3D%3D,https://www.linkedin.com/in/alex-leite-b553b86/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BtM%2FvwhUiR7i6vlJ43rCgMA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=2TGxv07jT4SOWr9WWRELTQ%3D%3D
,,UX Engineer,https://www.linkedin.com/in/donnieconner/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BtM%2FvwhUiR7i6vlJ43rCgMA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=tlGwdrcYQnOd4CW2uh3L3Q%3D%3D,https://www.linkedin.com/in/donnieconner/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BtM%2FvwhUiR7i6vlJ43rCgMA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=tlGwdrcYQnOd4CW2uh3L3Q%3D%3D
,x,UX Engineer,https://www.linkedin.com/in/pohung/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BtM%2FvwhUiR7i6vlJ43rCgMA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=qxII3%2B0hSbOhi41jTaXnQw%3D%3D,https://www.linkedin.com/in/pohung/,lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BtM%2FvwhUiR7i6vlJ43rCgMA%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=qxII3%2B0hSbOhi41jTaXnQw%3D%3D
